Generated by CRM Export on 2026-02-10
Deal Owner,Deal Name,Stage,Annual Contract Value,Closing Date,Modified Time (Notes),Note Content,Description
Alice Smith,CA Dollar Sign,Negotiation,"CA$120,000",2026-03-14,2026-02-07,CA dollar sign deal.,CA$ prefix test
Alice Smith,C Dollar Sign,Negotiation,"C$85,000",2026-03-14,2026-02-07,C dollar sign deal.,C$ prefix test
Bob Jones,Bare Dollar,Qualification,"$45,000",2026-03-31,2026-01-24,Bare dollar sign treated as CAD.,Bare $ default CAD
Carlos Diaz,Commas Thousands,Proposal,"$1,234,567 CAD",2026-05-09,2026-01-31,Multiple comma separators test.,Thousands separators
Alice Smith,European Format,Negotiation,"12.345,67 CAD",2026-03-14,2026-02-07,European number format.,European decimal comma
Bob Jones,Parentheses Negative,Discovery,"($1,234.56) CAD",2026-06-29,2026-02-09,Parenthesized negative value.,Negative ACV test
Bob Jones,Plain Number,Negotiation,99000,2026-03-31,2026-02-08,Plain number no currency sign.,No symbol at all
Carlos Diaz,Spaces Thousands,Proposal,"$50 000 CAD",2026-05-09,2026-01-31,Space thousand separators test.,Space thousands
Alice Smith,Zero ACV,Closed Won,$0 CAD,2026-01-30,2026-01-30,Zero ACV is valid.,Zero value test
Bob Jones,USD Deal Filtered,Qualification,$75000 USD,2026-03-31,2026-01-24,USD should be filtered.,USD filtered
Carlos Diaz,EUR Deal Filtered,Proposal,€95000 EUR,2026-04-14,2026-02-01,EUR should be filtered.,EUR filtered
Alice Smith,US Dollar Filtered,Negotiation,US$50000,2026-03-14,2026-02-07,US dollar prefix filtered.,US$ prefix filtered
