Generated by CRM Export on 2026-02-12
Deal Owner,Deal Name,Stage,Annual Contract Value,Closing Date,Modified Time (Notes),Note Content,Description
Alice Smith,Acme Corp Renewal,Negotiation,"$120,000 CAD",2026-03-14,2026-02-07,Proposal sent for Q1 renewal.,Enterprise renewal deal
Carlos Diaz,Alpha2 Mining,Qualification,"$220,000 CAD",2026-07-31,2026-01-21,Site visit completed.,Mining vertical prospect
Bob Jones,Beta Industries,Qualification,"$45,000 CAD",2026-03-31,2026-01-24,Initial discovery call completed.,Mid-market qualification
Bob Jones,Beta2 Legal,Proposal,"$50,000 CAD",2026-05-14,2026-02-01,Legal proposal under review by partner.,Legal vertical deal
Carlos Diaz,Chi Real Estate,Negotiation,"$65,000 CAD",2026-03-09,2026-02-06,Negotiation with property management team.,Real estate vertical
Carlos Diaz,Delta Financial,Proposal,"$85,000 CAD",2026-05-09,2026-01-31,Sent proposal.,Financial services deal
Carlos Diaz,Delta2 Sports,Qualification,"$75,000 CAD",2026-07-19,2026-01-28,Sports league evaluation call.,Sports vertical prospect
Alice Smith,Duplicate Deal Alpha,Discovery,"$60,000 CAD",2026-05-31,2026-02-03,Early stage discovery for Duplicate Deal Alpha.,First dupe Alice row older
Alice Smith,Duplicate Deal Alpha,Negotiation,"$65,000 CAD",2026-05-31,2026-02-07,Moved to negotiation with expanded scope.,Second dupe Alice row newest wins
Bob Jones,Duplicate Deal Alpha,Qualification,"$58,000 CAD",2026-05-31,2026-01-27,Qualification started.,Dupe with different owner Bob
Bob Jones,Epsilon Retail,Discovery,"$30,000 CAD",2026-06-29,2026-02-09,Retail demo booked.,Retail vertical prospect
Bob Jones,Epsilon2 Banking,Negotiation,"$350,000 CAD",2026-03-29,2026-02-05,Banking deal in negotiation.,Banking vertical large deal
Carlos Diaz,Eta Manufacturing,Closed Won,"$150,000 CAD",2026-01-14,2026-01-14,Closed.,Manufacturing enterprise deal
Dana Lee,Eta2 Fashion,Discovery,"$55,000 CAD",2026-09-14,2026-02-10,Met with head of fashion retail division.,Fashion vertical prospect
Alice Smith,Gamma Health,Closed Won,"$200,000 CAD",2026-01-30,2026-01-30,Contract signed and delivered.,Healthcare enterprise deal
Alice Smith,Gamma2 Nonprofit,Discovery,"$15,000 CAD",2026-10-31,2026-02-09,Nonprofit intro call.,Nonprofit sector small deal
Alice Smith,Iota Services,Proposal,"$40,000 CAD",2026-07-31,2026-02-06,Proposal sent.,Services vertical deal
Dana Lee,Iota2 Consulting,Proposal,"$38,000 CAD",2026-04-09,2026-02-02,Consulting proposal reviewed by stakeholders.,Consulting vertical
Carlos Diaz,Kappa Telecom,Qualification,"$175,000 CAD",2026-05-31,2026-01-29,Telecom qualification meeting with CTO team.,Telecom vertical large deal
Carlos Diaz,Kappa2 Defense,Qualification,"$500,000 CAD",2026-12-14,2025-11-30,Initial RFP response.,Defense sector deal
Bob Jones,Lambda Education,Discovery,"$25,000 CAD",2026-08-31,2026-02-10,Education platform demo completed.,Education vertical
Bob Jones,Lambda2 Transport,Negotiation,"$88,000 CAD",2026-03-17,2026-02-08,Contract drafting.,Transport logistics deal
Alice Smith,Mu Pharma,Negotiation,"$300,000 CAD",2026-04-14,2026-02-05,Pharma deal in late stage.,Pharmaceutical enterprise
Alice Smith,Mu2 Dental,Discovery,"$22,000 CAD",2026-10-14,2026-02-11,Dental clinic group intro call scheduled.,Dental vertical small deal
Carlos Diaz,Nu Energy,Proposal,"$110,000 CAD",2026-05-29,2026-02-02,Energy proposal sent.,Energy sector deal
Dana Lee,Nu2 Telehealth,Proposal,"$95,000 CAD",2026-05-24,2026-02-04,"Telehealth platform proposal reviewed by clinical team.
They want integration with existing EHR system.",Telehealth vertical
Alice Smith,Omega Shipping,Closed Won,"$145,000 CAD",2026-02-04,2026-02-04,Deal closed.,Shipping logistics won deal
Alice Smith,Omicron Media,Discovery,"$55,000 CAD",2026-08-14,2026-02-11,Media intro call.,Media vertical prospect
Bob Jones,Omicron2 Gaming,Discovery,"$70,000 CAD",2026-08-19,2026-02-07,Gaming studio demo call.,Gaming vertical prospect
Alice Smith,Phi Biotech,Proposal,"$185,000 CAD",2026-06-14,2026-02-07,"Biotech proposal sent to research director covering three-year enterprise license with dedicated support and custom integration with laboratory information management system.",Biotech vertical large deal
Carlos Diaz,Pi Construction,Closed Won,"$90,000 CAD",2026-01-31,2026-01-31,Closed.,Construction enterprise deal
Dana Lee,Pi2 Renewable,Qualification,"$125,000 CAD",2026-06-29,2026-01-30,Renewable energy qualification with engineering team.,Renewable energy vertical
Bob Jones,Psi Agriculture,Discovery,"$35,000 CAD",2026-09-30,2026-02-10,Farm tech demo call.,Agriculture vertical
Bob Jones,Rho Insurance,Proposal,"$130,000 CAD",2026-04-29,2026-02-03,Proposal sent.,Insurance vertical deal
Alice Smith,Sigma Hospitality,Negotiation,"$80,000 CAD",2026-03-24,2026-02-08,Negotiating with hotel chain.,Hospitality vertical
Carlos Diaz,Tau Government,Qualification,"$250,000 CAD",2026-09-29,2026-01-14,Government RFP submitted.,Government sector deal
Bob Jones,Theta Corp,Negotiation,"$95,000 CAD",2026-03-19,2026-02-04,Contract drafting.,Corporate vertical
Dana Lee,Theta2 Utilities,Qualification,"$160,000 CAD",2026-05-19,2026-01-26,Utilities qualification call with operations manager.,Utilities sector deal
Bob Jones,Upsilon Aerospace,Discovery,"$400,000 CAD",2026-11-30,2025-12-19,Initial outreach.,Aerospace long-cycle deal
Bob Jones,Xi Automotive,Qualification,"$70,000 CAD",2026-06-30,2026-01-27,Automotive demo with fleet mgr.,Automotive vertical
Carlos Diaz,Xi2 Robotics,Closed Won,"$180,000 CAD",2026-02-09,2026-02-09,Closed.,Robotics integration deal
Alice Smith,Zeta Logistics,Discovery,"$60,000 CAD",2026-07-14,2026-02-08,Follow up call scheduled.,Logistics vertical prospect
Alice Smith,Zeta2 Food,Proposal,"$42,000 CAD",2026-05-31,2026-02-03,Food services proposal under review.,Food and beverage vertical
Bob Jones,USD Filtered Deal,Qualification,$75000 USD,2026-03-31,2026-01-24,This should be filtered.,USD deal filtered
Carlos Diaz,EUR Filtered Deal,Proposal,€95000 EUR,2026-04-14,2026-02-01,This should be filtered.,EUR deal filtered
John Michael Robert David Smith Jr,Malformed Owner Deal,Proposal,"$85,000 CAD",2026-05-09,2026-01-31,This should be filtered.,Owner has 6 words
Alice Smith,,Qualification,"$50,000 CAD",2026-04-30,2026-02-01,This should be filtered.,Empty deal name
